"2023-06-20 at 18:19"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
18:19:25 -1.25 51.73 101.21
18:19:26 -1.61 51.73 101.19
18:19:27 -1.25 51.76 101.19
18:19:28 -1.38 51.76 101.21
18:19:29 -1.29 51.76 101.19
18:19:30 -1.56 51.76 101.19
18:19:31 -1.56 51.76 101.19
18:19:32 -1.28 51.76 101.19
18:19:33 -1.56 51.76 101.21
18:19:34 -1.25 51.76 101.21
18:19:35 -1.47 51.76 101.21
18:19:36 -1.29 51.76 101.21
18:19:37 -1.64 51.73 101.21
18:19:38 -1.04 51.73 101.19
18:19:39 -1.63 51.76 101.19
18:19:40 -1.17 51.76 101.19
18:19:41 -1.52 51.76 101.19
18:19:42 -1.28 51.76 101.21
18:19:43 -1.69 51.76 101.21
18:19:44 -1.42 51.76 101.21
18:19:45 -1.62 51.76 101.21
18:19:46 -1.73 51.76 101.21
18:19:47 -1.25 51.73 101.19
18:19:48 -1.56 51.73 101.19
18:19:49 -0.99 51.76 101.19
18:19:50 -1.48 51.76 101.21
18:19:52 -1.53 51.76 101.21
18:19:53 -1.33 51.76 101.19
18:19:54 -1.53 51.76 101.21
18:19:55 -1.47 51.76 101.21
18:19:56 -1.49 51.76 101.19
18:19:57 -1.50 51.76 101.19
18:19:58 -1.39 51.76 101.19
18:19:59 -1.60 51.76 101.19
18:20:00 -1.78 51.76 101.21
18:20:01 -1.34 51.76 101.21
18:20:02 -1.61 51.76 101.21
18:20:03 -1.54 51.76 101.21
18:20:04 -1.55 51.76 101.19
18:20:05 -1.07 51.76 101.21
18:20:06 -1.82 51.76 101.19
18:20:07 -1.91 51.76 101.21
18:20:08 0.85 51.76 101.21
18:20:09 8.98 51.76 101.21
18:20:10 21.65 51.76 101.21
18:20:11 31.58 51.76 101.19
18:20:12 36.83 51.76 101.19
18:20:13 37.43 51.76 101.19
18:20:14 32.33 51.76 101.21
18:20:15 23.34 51.76 101.19
18:20:16 15.89 51.76 101.19
18:20:17 10.09 51.76 101.19
18:20:18 6.82 51.76 101.19
18:20:19 4.88 51.76 101.21
18:20:20 3.80 51.76 101.21
18:20:21 2.97 51.76 101.19
18:20:22 2.21 51.76 101.19
18:20:23 1.20 51.76 101.19
18:20:24 0.61 51.76 101.19
18:20:25 0.21 51.76 101.21
18:20:26 0.08 51.76 101.21
18:20:27 -0.35 51.76 101.21
18:20:28 -0.75 51.76 101.21
18:20:29 -0.40 51.76 101.21
18:20:30 -1.17 51.76 101.21
18:20:31 -1.08 51.76 101.21
18:20:32 -1.22 51.76 101.21
18:20:33 -1.48 51.76 101.21
18:20:34 -1.27 51.76 101.21
18:20:35 -0.91 51.76 101.19
18:20:36 -1.53 51.76 101.21
18:20:37 -1.28 51.76 101.19
18:20:38 -1.82 51.76 101.19
18:20:39 -1.31 51.76 101.19
18:20:40 -1.14 51.76 101.19
18:20:41 -1.15 51.76 101.19
18:20:42 -1.66 51.76 101.19
18:20:43 -1.47 51.76 101.21
18:20:44 -1.20 51.76 101.19
18:20:45 -1.52 51.76 101.19
18:20:46 -1.54 51.76 101.21
18:20:47 -1.28 51.76 101.21
18:20:48 -1.44 51.76 101.19
18:20:49 -1.46 51.76 101.19
18:20:50 -0.90 51.76 101.21
18:20:51 -1.94 51.76 101.21
18:20:52 -1.30 51.76 101.21
18:20:53 -1.69 51.76 101.21
18:20:54 -1.31 51.76 101.21
18:20:55 -1.42 51.76 101.21
18:20:56 -1.14 51.76 101.21
18:20:57 -1.35 51.76 101.19
18:20:58 -1.27 51.76 101.21
18:20:59 -1.46 51.76 101.21
18:21:00 -1.29 51.76 101.19
18:21:01 -1.11 51.76 101.21
18:21:02 -1.51 51.76 101.21
18:21:04 -1.28 51.73 101.21
18:21:05 -1.51 51.73 101.19
18:21:06 -1.48 51.76 101.21
18:21:07 -1.22 51.76 101.19
18:21:08 -1.58 51.76 101.19
18:21:09 -1.79 51.76 101.21
18:21:10 -1.72 51.73 101.21
18:21:11 -1.32 51.73 101.21
18:21:12 -1.19 51.76 101.21
18:21:13 -1.45 51.76 101.21
18:21:14 -1.51 51.76 101.20
18:21:15 -1.52 51.76 101.19
18:21:16 -1.69 51.76 101.21
18:21:17 -1.20 51.76 101.21
18:21:18 -1.46 51.76 101.21
18:21:19 -1.57 51.76 101.21
18:21:20 -0.96 51.76 101.19
18:21:21 1.13 51.76 101.19
18:21:22 9.68 51.76 101.21
18:21:23 20.82 51.76 101.19
18:21:24 29.67 51.76 101.19
18:21:25 34.77 51.76 101.19
18:21:26 34.60 51.76 101.19
18:21:27 29.82 51.76 101.21
18:21:28 21.18 51.76 101.19
18:21:29 14.22 51.76 101.19
18:21:30 8.91 51.76 101.21
18:21:31 6.45 51.76 101.21
18:21:32 4.44 51.76 101.19
18:21:33 2.93 51.76 101.21
18:21:34 2.05 51.76 101.19
18:21:35 1.28 51.76 101.21
18:21:36 -0.02 51.76 101.21
18:21:37 0.25 51.76 101.19
18:21:38 -0.36 51.76 101.19
18:21:39 -0.47 51.76 101.19
18:21:40 -0.50 51.76 101.21
18:21:41 -0.69 51.76 101.19
18:21:42 -0.88 51.76 101.21
18:21:43 -1.00 51.76 101.19
18:21:44 -1.08 51.76 101.19
18:21:45 -1.62 51.76 101.19
18:21:46 -1.37 51.76 101.21
18:21:47 -1.11 51.76 101.19
18:21:48 -1.48 51.76 101.19
18:21:49 -0.98 51.76 101.21
18:21:50 -1.86 51.76 101.19
18:21:51 -1.83 51.76 101.19
18:21:52 -1.17 51.76 101.19
18:21:53 -1.34 51.76 101.21
18:21:54 -1.38 51.76 101.21
18:21:55 -1.24 51.76 101.19
18:21:56 -1.48 51.76 101.19
18:21:57 -1.38 51.76 101.21
18:21:58 -1.35 51.76 101.19
18:21:59 -0.89 51.76 101.19
18:22:00 -1.74 51.76 101.22
18:22:01 -1.28 51.76 101.19
18:22:02 -1.71 51.76 101.21
18:22:03 -1.42 51.76 101.19
18:22:04 -1.37 51.76 101.19
18:22:05 -1.35 51.76 101.21
18:22:06 1.09 51.76 101.21
18:22:07 9.31 51.76 101.19
18:22:08 15.19 51.76 101.21
18:22:09 26.36 51.76 101.21
18:22:10 34.01 51.76 101.19
18:22:11 37.01 51.73 101.21
18:22:12 34.74 51.73 101.19
18:22:13 27.98 51.76 101.19
18:22:14 19.28 51.76 101.21
18:22:16 12.82 51.76 101.21
18:22:17 8.22 51.76 101.19
18:22:18 5.43 51.76 101.21
18:22:19 4.25 51.76 101.21
18:22:20 2.94 51.76 101.19
18:22:21 1.63 51.76 101.19
18:22:22 1.17 51.76 101.21
18:22:23 0.53 51.76 101.20
18:22:24 -0.03 51.76 101.20
18:22:25 -0.43 51.76 101.17
18:22:26 -0.42 51.76 101.17
18:22:27 -0.70 51.76 101.17
18:22:28 -0.90 51.76 101.17
18:22:29 -1.23 51.76 101.21
18:22:30 -1.27 51.76 101.19
18:22:31 -1.23 51.76 101.21
18:22:32 -1.17 51.76 101.21
18:22:33 -1.12 51.76 101.17
18:22:34 -1.39 51.76 101.17
18:22:35 -1.26 51.76 101.21
18:22:36 -1.17 51.76 101.19
18:22:37 -1.25 51.76 101.19
18:22:38 -1.61 51.76 101.21
18:22:39 -1.27 51.76 101.21
18:22:40 -1.57 51.76 101.21
18:22:41 -1.22 51.76 101.19
18:22:42 -1.39 51.76 101.19
18:22:43 -1.23 51.76 101.19
18:22:44 -1.66 51.76 101.19
18:22:45 -1.47 51.76 101.19
18:22:46 -1.47 51.76 101.19
18:22:47 -1.19 51.76 101.19
18:22:48 -1.64 51.76 101.21
18:22:49 -1.15 51.76 101.21
18:22:50 -1.38 51.76 101.21
18:22:51 -1.29 51.76 101.21
18:22:52 -1.63 51.76 101.22
18:22:53 -1.48 51.73 101.19
18:22:54 -1.52 51.73 101.19
18:22:55 -1.31 51.73 101.19
18:22:56 -1.38 51.76 101.21
18:22:57 -1.54 51.76 101.21
18:22:58 -1.43 51.76 101.19
18:22:59 4.76 51.76 101.21
18:23:00 24.35 51.76 101.21
18:23:01 49.81 51.76 101.19
18:23:02 67.74 51.76 101.21
18:23:03 72.88 51.76 101.19
18:23:04 76.47 51.76 101.19
18:23:05 70.02 51.76 101.19
18:23:06 54.11 51.76 101.19
18:23:07 36.94 51.76 101.21
18:23:08 24.45 51.76 101.21
18:23:09 17.15 51.76 101.19
18:23:10 12.12 51.76 101.19
18:23:11 9.09 51.76 101.19
18:23:12 6.34 51.76 101.17
18:23:13 4.58 51.76 101.20
18:23:14 3.62 51.76 101.19
18:23:15 2.59 51.76 101.21
18:23:16 1.12 51.76 101.19
18:23:17 1.31 51.76 101.21
18:23:18 0.27 51.76 101.21
18:23:19 -0.13 51.76 101.21
18:23:20 -0.84 51.76 101.21
18:23:21 -0.51 51.76 101.21
18:23:22 -0.98 51.76 101.20
18:23:23 -1.13 51.76 101.20
18:23:24 -0.91 51.76 101.21
18:23:25 -0.83 51.76 101.17
18:23:26 -1.12 51.76 101.17
18:23:27 -1.25 51.76 101.19
18:23:29 -1.03 51.76 101.19
18:23:30 -1.07 51.76 101.21
18:23:31 -1.40 51.76 101.21
18:23:32 -1.24 51.73 101.21
18:23:33 -1.65 51.73 101.21
18:23:34 -1.29 51.76 101.19
18:23:35 -1.60 51.76 101.19
18:23:36 -1.53 51.76 101.19
18:23:37 -0.93 51.76 101.21
18:23:38 -1.64 51.76 101.21
18:23:39 -1.49 51.76 101.19
18:23:40 -1.13 51.76 101.19
18:23:41 -1.26 51.76 101.20
18:23:42 -1.71 51.76 101.21
18:23:43 -1.41 51.76 101.19
18:23:44 -1.18 51.76 101.19
18:23:45 -1.45 51.76 101.21
18:23:46 -1.50 51.76 101.20
18:23:47 -1.25 51.76 101.20
18:23:48 6.88 51.76 101.19
18:23:49 27.94 51.76 101.19
18:23:50 53.97 51.76 101.21
18:23:51 69.94 51.76 101.21
18:23:52 78.19 51.73 101.19
18:23:53 74.87 51.73 101.21
18:23:54 61.51 51.76 101.21
18:23:55 43.65 51.76 101.19
18:23:56 28.47 51.76 101.19
18:23:57 23.62 51.76 101.19
18:23:58 16.15 51.76 101.19
18:23:59 12.03 51.76 101.19
18:24:00 8.79 51.76 101.21
18:24:01 6.41 51.76 101.21
18:24:02 5.14 51.76 101.19
18:24:03 3.64 51.76 101.19
18:24:04 2.40 51.76 101.21
18:24:05 1.71 51.76 101.19
18:24:06 0.93 51.73 101.19
18:24:07 0.45 51.73 101.21
18:24:08 -0.04 51.76 101.19
18:24:09 0.01 51.73 101.20
18:24:10 -0.36 51.73 101.17
18:24:11 -0.78 51.76 101.19
18:24:12 -0.56 51.76 101.21
18:24:13 -1.23 51.76 101.21
18:24:14 -1.00 51.76 101.21
18:24:15 -1.01 51.76 101.19
18:24:16 -0.95 51.76 101.19
18:24:17 -0.97 51.76 101.21
18:24:18 -1.40 51.73 101.21
18:24:19 -1.01 51.73 101.21
18:24:20 -1.51 51.76 101.21
18:24:21 -1.22 51.76 101.19
18:24:22 -0.81 51.76 101.21
18:24:23 -1.12 51.76 101.21
18:24:24 -1.55 51.76 101.21
18:24:25 -1.09 51.76 101.19
18:24:26 -1.15 51.76 101.17
18:24:27 -1.24 51.76 101.17
18:24:28 1.97 51.76 101.21
18:24:29 18.22 51.76 101.21
18:24:30 43.63 51.76 101.21
18:24:31 64.49 51.76 101.19
18:24:32 76.15 51.76 101.17
18:24:33 78.11 51.76 101.17
18:24:34 68.24 51.76 101.17
18:24:35 51.20 51.76 101.21
18:24:36 34.10 51.76 101.21
18:24:37 23.11 51.76 101.21
18:24:38 15.91 51.76 101.21
18:24:39 11.91 51.76 101.19
18:24:41 8.78 51.76 101.19
18:24:42 6.09 51.76 101.21
18:24:43 5.08 51.76 101.21
18:24:44 3.39 51.76 101.19
18:24:45 2.49 51.76 101.21
18:24:46 1.96 51.76 101.21
18:24:47 0.89 51.76 101.19
18:24:48 0.35 51.76 101.21
18:24:49 0.44 51.76 101.21
18:24:50 -0.33 51.76 101.19
18:24:51 -0.31 51.76 101.21
18:24:52 -0.59 51.76 101.21
18:24:53 -0.80 51.76 101.19
18:24:54 -0.85 51.76 101.21
18:24:55 -0.93 51.76 101.21
18:24:56 -1.07 51.76 101.19
18:24:57 -1.01 51.76 101.21
18:24:58 -1.40 51.76 101.19
18:24:59 -1.22 51.76 101.21
18:25:00 -1.34 51.76 101.21
18:25:01 -1.45 51.76 101.21
18:25:02 -1.04 51.76 101.19
18:25:03 -1.15 51.76 101.21
18:25:04 -1.63 51.76 101.19
18:25:05 -1.07 51.76 101.19
18:25:06 -1.32 51.76 101.19
18:25:07 -1.04 51.76 101.21
18:25:08 -1.49 51.76 101.19
18:25:09 -1.19 51.76 101.19
18:25:10 -1.30 51.76 101.19
18:25:11 -1.74 51.76 101.19
18:25:12 -1.01 51.76 101.19
18:25:13 -1.51 51.76 101.21
18:25:14 -1.50 51.76 101.19
18:25:15 -0.82 51.76 101.19
18:25:16 -1.58 51.76 101.20
18:25:17 -1.54 51.76 101.17
18:25:18 -1.21 51.76 101.19
18:25:19 -1.28 51.76 101.21
18:25:20 -1.60 51.76 101.19
18:25:21 -1.29 51.76 101.21
18:25:22 -1.19 51.76 101.21
18:25:23 -1.80 51.76 101.19
18:25:24 -1.46 51.76 101.21
18:25:25 -1.53 51.76 101.19
18:25:26 -1.27 51.76 101.21
18:25:27 -1.31 51.76 101.17
18:25:28 -1.91 51.76 101.17
18:25:29 -1.01 51.76 101.19
18:25:30 -1.49 51.76 101.22
18:25:31 -1.31 51.76 101.21
18:25:32 -1.19 51.76 101.19
18:25:33 -1.78 51.76 101.19
18:25:34 -1.21 51.76 101.19
18:25:35 -1.45 51.76 101.21
18:25:36 -0.16 51.76 101.19
18:25:37 27.98 51.76 101.19
18:25:38 87.72 51.76 101.21
18:25:39 142.00 51.76 101.19
18:25:40 173.20 51.76 101.21
18:25:41 183.94 51.76 101.19
18:25:42 169.65 51.76 101.19
18:25:43 131.76 51.76 101.19
18:25:44 89.89 51.76 101.21
18:25:45 73.96 51.76 101.19
18:25:46 51.00 51.76 101.19
18:25:47 36.24 51.76 101.21
18:25:48 27.15 51.76 101.19
18:25:49 20.35 51.76 101.21
18:25:50 15.77 51.73 101.21
18:25:51 11.96 51.73 101.19
18:25:52 9.01 51.76 101.21
18:25:54 6.98 51.76 101.21
18:25:55 5.04 51.76 101.21
18:25:56 3.64 51.76 101.19
18:25:57 2.28 51.76 101.19
18:25:58 1.48 51.76 101.21
18:25:59 1.19 51.76 101.19
18:26:00 0.59 51.76 101.19
