"2023-06-01 at 16:30"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
16:30:20 -0.81 51.76 101.16
16:30:21 -0.98 51.76 101.16
16:30:22 -1.00 51.76 101.16
16:30:23 -1.00 51.76 101.16
16:30:24 -0.98 51.76 101.16
16:30:25 -0.93 51.76 101.16
16:30:26 -1.18 51.76 101.16
16:30:27 -0.93 51.76 101.16
16:30:28 -1.04 51.76 101.18
16:30:29 -0.82 51.76 101.16
16:30:30 -1.03 51.76 101.18
16:30:31 -1.05 51.76 101.16
16:30:32 -0.56 51.76 101.16
16:30:33 -0.99 51.76 101.16
16:30:34 -1.08 51.76 101.18
16:30:35 -1.04 51.76 101.16
16:30:36 -1.08 51.76 101.18
16:30:37 -1.30 51.76 101.16
16:30:38 -1.20 51.76 101.16
16:30:39 -0.84 51.76 101.16
16:30:40 -1.29 51.76 101.18
16:30:41 -1.12 51.76 101.16
16:30:42 -0.82 51.76 101.18
16:30:43 -0.83 51.76 101.16
16:30:44 -0.90 51.76 101.16
16:30:45 -1.13 51.76 101.16
16:30:46 -1.30 51.76 101.16
16:30:47 -1.07 51.76 101.16
16:30:48 -0.86 51.76 101.16
16:30:49 -1.40 51.76 101.16
16:30:51 -1.04 51.76 101.18
16:30:52 -0.60 51.76 101.18
16:30:53 -1.05 51.76 101.18
16:30:54 -1.14 51.76 101.18
16:30:55 -0.69 51.76 101.16
16:30:56 -1.35 51.76 101.18
16:30:57 -1.04 51.76 101.18
16:30:58 -1.27 51.76 101.18
16:30:59 -0.99 51.76 101.18
16:31:00 -1.10 51.76 101.16
16:31:01 -1.30 51.76 101.16
16:31:02 -1.04 51.76 101.18
16:31:03 -1.00 51.76 101.18
16:31:04 -0.74 51.76 101.16
16:31:05 -1.01 51.76 101.16
16:31:06 -1.10 51.76 101.18
16:31:07 -1.17 51.76 101.18
16:31:08 -0.72 51.76 101.16
16:31:09 -0.76 51.76 101.16
16:31:10 -0.83 51.76 101.16
16:31:11 -0.93 51.76 101.16
16:31:12 -1.16 51.76 101.16
16:31:13 -0.61 51.76 101.16
16:31:14 -0.96 51.76 101.16
16:31:15 -1.06 51.76 101.16
16:31:16 -1.00 51.76 101.18
16:31:17 -1.05 51.76 101.16
16:31:18 -0.98 51.76 101.16
16:31:19 -1.22 51.76 101.16
16:31:20 -0.79 51.76 101.16
16:31:21 -0.95 51.76 101.18
16:31:22 -1.01 51.76 101.16
16:31:23 -0.81 51.76 101.18
16:31:24 -1.03 51.76 101.18
16:31:25 -0.84 51.76 101.16
16:31:26 -1.05 51.76 101.16
16:31:27 -0.87 51.76 101.16
16:31:28 -0.73 51.76 101.16
