"2023-06-08 at 11:54"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
11:57:26 4.98 51.76 101.55
11:57:27 11.76 51.76 101.52
11:57:28 21.46 51.76 101.55
11:57:29 29.11 51.76 101.55
11:57:30 33.64 51.76 101.55
11:57:31 33.81 51.76 101.52
11:57:32 29.23 51.76 101.52
11:57:33 22.94 51.76 101.55
11:57:34 16.08 51.76 101.55
11:57:35 11.01 51.76 101.52
11:57:36 7.71 51.73 101.55
11:57:37 5.42 51.73 101.52
11:57:38 3.91 51.76 101.55
11:57:39 2.91 51.76 101.55
11:57:40 1.93 51.76 101.55
11:57:41 1.35 51.76 101.55
11:57:42 1.32 51.76 101.55
11:57:43 0.86 51.76 101.52
11:57:44 0.00 51.76 101.55
11:57:45 0.39 51.76 101.52
11:57:46 -0.53 51.76 101.52
11:57:47 -0.15 51.76 101.55
11:57:48 -0.44 51.76 101.52
11:57:49 -0.89 51.76 101.52
11:57:50 -0.30 51.76 101.52
11:57:51 -0.83 51.76 101.55
11:57:52 -0.50 51.76 101.55
11:57:53 -0.79 51.73 101.55
11:57:54 -0.97 51.73 101.55
11:57:55 -0.74 51.76 101.55
11:57:56 -0.65 51.76 101.55
11:57:57 -0.92 51.76 101.55
11:57:58 -0.87 51.76 101.55
11:57:59 -0.80 51.76 101.55
11:58:00 -0.89 51.76 101.52
11:58:01 -0.81 51.76 101.55
11:58:02 -0.95 51.76 101.52
11:58:03 -1.07 51.76 101.52
11:58:04 -0.57 51.76 101.55
11:58:05 -1.19 51.76 101.52
11:58:06 -0.92 51.76 101.52
11:58:07 -1.27 51.73 101.55
11:58:08 -0.76 51.73 101.55
11:58:09 -0.98 51.76 101.55
11:58:10 -1.00 51.76 101.52
11:58:11 -0.72 51.73 101.52
11:58:12 -1.04 51.73 101.52
11:58:13 -0.82 51.76 101.55
11:58:14 -0.84 51.76 101.55
11:58:15 -1.27 51.76 101.52
11:58:16 -0.61 51.76 101.52
11:58:17 -1.16 51.76 101.55
11:58:18 -0.73 51.76 101.55
11:58:19 -0.89 51.76 101.55
11:58:20 -1.04 51.76 101.52
