"2022-03-30 at 14:38"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
14:41:37 2.74 51.73 101.52
14:41:38 2.65 51.73 101.52
14:41:39 2.18 51.73 101.52
14:41:40 2.23 51.73 101.52
14:41:41 1.87 51.73 101.52
14:41:42 1.63 51.73 101.52
14:41:43 1.52 51.73 101.52
14:41:44 1.51 51.73 101.52
14:41:45 1.32 51.73 101.52
14:41:46 1.44 51.73 101.52
14:41:47 0.94 51.76 101.53
14:41:48 1.15 51.76 101.52
14:41:49 1.28 51.76 101.52
14:41:50 0.98 51.76 101.52
14:41:51 1.01 51.76 101.52
14:41:52 0.86 51.73 101.52
14:41:53 0.67 51.73 101.52
14:41:54 0.63 51.73 101.52
14:41:56 0.91 51.73 101.52
14:41:57 1.02 51.73 101.52
14:41:58 0.13 51.73 101.52
14:41:59 0.67 51.73 101.52
14:42:00 0.87 51.73 101.52
14:42:01 1.53 51.73 101.52
14:42:02 3.47 51.73 101.52
14:42:03 7.28 51.73 101.52
14:42:04 12.35 51.73 101.52
14:42:05 17.02 51.73 101.52
14:42:06 21.65 51.73 101.52
14:42:07 25.52 51.73 101.52
14:42:08 28.36 51.73 101.52
14:42:09 31.29 51.73 101.52
14:42:10 32.63 51.73 101.52
14:42:11 34.15 51.73 101.52
14:42:12 33.53 51.73 101.52
14:42:13 32.32 51.73 101.52
14:42:14 30.29 51.73 101.51
14:42:15 26.90 51.73 101.51
14:42:16 24.05 51.73 101.52
14:42:17 22.84 51.73 101.52
14:42:18 19.60 51.76 101.52
14:42:19 17.41 51.73 101.52
14:42:20 15.28 51.73 101.52
14:42:21 12.75 51.73 101.52
14:42:22 11.47 51.73 101.52
14:42:23 10.05 51.73 101.52
14:42:24 8.14 51.73 101.52
14:42:25 7.72 51.73 101.52
14:42:26 6.73 51.73 101.52
14:42:27 5.93 51.73 101.52
14:42:28 5.27 51.73 101.52
14:42:29 4.57 51.73 101.52
14:42:30 4.25 51.73 101.52
14:42:31 3.20 51.73 101.53
14:42:32 3.12 51.73 101.52
14:42:33 2.88 51.73 101.52
14:42:34 2.18 51.73 101.52
14:42:35 2.24 51.73 101.52
14:42:36 1.86 51.73 101.52
14:42:37 1.56 51.73 101.52
14:42:38 1.50 51.73 101.52
14:42:39 1.49 51.73 101.52
14:42:40 1.40 51.73 101.52
14:42:41 1.22 51.73 101.52
14:42:42 1.36 51.73 101.52
14:42:43 1.45 51.73 101.52
14:42:44 1.31 51.73 101.52
14:42:45 2.99 51.73 101.52
14:42:46 6.50 51.73 101.52
14:42:47 10.92 51.73 101.52
14:42:48 16.13 51.73 101.52
14:42:49 21.21 51.73 101.52
14:42:50 25.25 51.73 101.52
14:42:51 28.79 51.73 101.52
14:42:52 31.64 51.73 101.52
14:42:53 34.15 51.73 101.52
