"2021-11-18 at 13:25"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
13:25:03 0.15 51.76 101.72
13:25:05 -0.11 51.76 101.72
13:25:06 0.27 51.76 101.72
13:25:07 0.18 51.76 101.72
13:25:08 -0.08 51.76 101.72
13:25:09 0.42 51.76 101.72
13:25:10 0.12 51.76 101.72
13:25:11 -0.09 51.76 101.72
13:25:12 -0.49 51.76 101.72
13:25:13 -0.20 51.76 101.72
13:25:14 -0.06 51.76 101.72
13:25:15 0.27 51.76 101.72
13:25:16 0.05 51.76 101.72
13:25:17 -0.11 51.76 101.72
13:25:18 -0.22 51.76 101.72
13:25:19 -0.18 51.76 101.72
13:25:20 -0.00 51.76 101.72
13:25:21 -0.13 51.76 101.72
13:25:22 0.41 51.76 101.72
13:25:23 -0.04 51.76 101.72
13:25:24 0.29 51.76 101.72
13:25:25 -0.01 51.76 101.72
13:25:26 -0.40 51.76 101.72
13:25:27 0.04 51.76 101.72
13:25:28 -0.12 51.76 101.72
13:25:29 0.28 51.76 101.72
13:25:30 -0.05 51.76 101.72
13:25:31 0.05 51.76 101.72
13:25:32 0.09 51.76 101.72
13:25:33 -0.04 51.76 101.72
13:25:34 -0.39 51.76 101.72
13:25:35 0.10 51.76 101.72
13:25:36 0.33 51.76 101.72
13:25:37 -0.26 51.76 101.72
13:25:38 -0.09 51.73 101.72
13:25:39 -0.10 51.73 101.72
13:25:40 -0.13 51.73 101.72
13:25:41 0.15 51.73 101.72
13:25:42 0.20 51.76 101.72
13:25:43 0.64 51.76 101.72
13:25:44 0.27 51.76 101.72
13:25:45 -0.62 51.76 101.72
13:25:46 -0.02 51.76 101.72
13:25:47 0.18 51.76 101.72
13:25:48 -0.08 51.76 101.72
13:25:49 -0.01 51.76 101.72
13:25:50 0.08 51.76 101.72
13:25:51 0.07 51.76 101.72
13:25:52 0.20 51.76 101.72
13:25:53 -0.20 51.76 101.72
13:25:54 0.27 51.76 101.72
13:25:55 0.10 51.76 101.72
13:25:56 -0.40 51.76 101.72
13:25:57 0.36 51.76 101.72
13:25:58 -0.10 51.76 101.72
13:25:59 0.04 51.76 101.72
13:26:00 0.31 51.76 101.72
13:26:01 0.11 51.76 101.74
13:26:02 0.13 51.76 101.72
13:26:03 -0.12 51.76 101.72
13:26:04 -0.26 51.73 101.72
13:26:05 -0.06 51.73 101.72
13:26:06 0.34 51.76 101.72
13:26:07 0.20 51.76 101.72
13:26:08 0.06 51.76 101.72
13:26:09 -0.33 51.76 101.72
13:26:10 -0.27 51.76 101.70
13:26:11 0.17 51.73 101.72
13:26:12 -0.20 51.73 101.72
13:26:13 0.04 51.73 101.72
13:26:14 0.39 51.73 101.72
13:26:15 0.44 51.76 101.72
13:26:17 -0.33 51.73 101.72
13:26:18 0.17 51.73 101.72
13:26:19 0.24 51.73 101.72
13:26:20 0.00 51.73 101.72
13:26:21 0.11 51.76 101.72
13:26:22 -0.09 51.76 101.72
13:26:23 0.29 51.73 101.72
13:26:24 0.09 51.73 101.72
13:26:25 -0.07 51.73 101.72
13:26:26 0.18 51.76 101.72
13:26:27 -0.36 51.73 101.72
13:26:28 -0.11 51.73 101.72
13:26:29 -0.07 51.76 101.72
13:26:30 0.19 51.73 101.72
13:26:31 -0.06 51.73 101.72
13:26:32 -0.15 51.76 101.72
13:26:33 0.24 51.76 101.72
13:26:34 -0.06 51.76 101.72
13:26:35 0.36 51.76 101.72
13:26:36 -0.17 51.76 101.72
13:26:37 0.31 51.76 101.72
13:26:38 -0.24 51.76 101.72
13:26:39 0.12 51.76 101.72
13:26:40 -0.31 51.76 101.72
13:26:41 -0.62 51.76 101.72
13:26:42 0.19 51.76 101.72
13:26:43 -0.10 51.76 101.72
13:26:44 0.32 51.76 101.72
13:26:45 -0.29 51.76 101.72
13:26:46 0.40 51.76 101.72
13:26:47 -0.16 51.76 101.72
13:26:48 -0.48 51.76 101.72
13:26:49 -0.15 51.76 101.72
13:26:50 0.17 51.73 101.74
13:26:51 0.22 51.73 101.72
13:26:52 -0.17 51.73 101.72
13:26:53 0.08 51.73 101.72
13:26:54 0.39 51.76 101.72
13:26:55 0.22 51.76 101.72
13:26:56 -0.10 51.76 101.72
13:26:57 -0.08 51.76 101.72
13:26:58 -0.04 51.76 101.72
13:26:59 0.19 51.76 101.72
13:27:00 -0.33 51.76 101.72
13:27:01 0.50 51.76 101.72
13:27:02 0.29 51.76 101.72
13:27:03 -0.12 51.76 101.72
13:27:04 0.19 51.76 101.72
13:27:05 -0.07 51.76 101.72
13:27:06 0.07 51.76 101.74
13:27:07 -0.24 51.73 101.74
13:27:08 -0.14 51.73 101.74
13:27:09 0.52 51.76 101.74
13:27:10 -0.08 51.76 101.74
13:27:11 -0.04 51.76 101.74
13:27:12 0.14 51.76 101.72
13:27:13 0.14 51.76 101.72
13:27:14 -0.18 51.76 101.72
13:27:15 0.49 51.76 101.74
13:27:16 -0.14 51.76 101.74
13:27:17 -0.30 51.76 101.74
13:27:18 0.86 51.76 101.74
13:27:19 5.26 51.76 101.72
13:27:20 12.14 51.76 101.72
13:27:21 19.08 51.76 101.72
13:27:22 24.89 51.76 101.72
13:27:23 28.82 51.76 101.72
13:27:24 31.41 51.76 101.72
13:27:25 32.86 51.76 101.72
13:27:26 30.99 51.76 101.72
13:27:27 27.58 51.76 101.74
13:27:28 22.78 51.76 101.74
13:27:30 18.26 51.76 101.72
13:27:31 15.16 51.76 101.72
13:27:32 11.91 51.76 101.74
13:27:33 9.56 51.76 101.72
13:27:34 7.85 51.76 101.72
13:27:35 6.72 51.76 101.72
13:27:36 5.85 51.76 101.74
13:27:37 4.37 51.76 101.74
13:27:38 4.12 51.76 101.74
13:27:39 3.24 51.76 101.74
13:27:40 2.61 51.76 101.74
13:27:41 2.63 51.76 101.74
13:27:42 2.05 51.76 101.74
13:27:43 1.38 51.76 101.72
13:27:44 1.35 51.76 101.72
13:27:45 1.72 51.76 101.74
13:27:46 0.41 51.76 101.74
13:27:47 1.01 51.76 101.74
13:27:48 0.49 51.76 101.72
13:27:49 0.96 51.76 101.72
13:27:50 0.35 51.76 101.74
13:27:51 0.57 51.76 101.74
13:27:52 0.57 51.73 101.74
13:27:53 0.38 51.73 101.74
13:27:54 0.18 51.76 101.74
13:27:55 0.24 51.76 101.74
13:27:56 0.37 51.76 101.74
13:27:57 0.12 51.73 101.74
13:27:58 0.27 51.73 101.74
13:27:59 -0.22 51.76 101.74
13:28:00 0.20 51.76 101.74
13:28:01 0.18 51.76 101.74
13:28:02 0.19 51.76 101.74
13:28:03 -0.29 51.76 101.74
13:28:04 0.15 51.76 101.74
13:28:05 0.02 51.76 101.74
13:28:06 0.41 51.73 101.74
13:28:07 0.42 51.73 101.74
13:28:08 -0.22 51.73 101.74
13:28:09 0.02 51.73 101.74
13:28:10 0.32 51.76 101.75
13:28:11 0.09 51.76 101.74
13:28:12 0.10 51.76 101.74
13:28:13 0.38 51.76 101.74
13:28:14 -0.14 51.76 101.74
13:28:15 0.14 51.73 101.74
