"2022-03-22 at 13:08"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
13:08:49 0.52 51.76 101.71
13:08:50 0.42 51.76 101.71
13:08:51 0.47 51.73 101.71
13:08:52 0.53 51.73 101.71
13:08:53 0.29 51.76 101.71
13:08:54 0.77 51.73 101.69
13:08:55 0.52 51.73 101.71
13:08:56 0.76 51.76 101.71
13:08:57 0.33 51.76 101.71
13:08:58 0.37 51.73 101.71
13:08:59 0.45 51.73 101.71
13:09:00 0.39 51.76 101.69
13:09:01 0.55 51.76 101.71
13:09:02 0.32 51.76 101.71
13:09:03 0.43 51.76 101.71
13:09:04 0.37 51.76 101.71
13:09:05 0.38 51.76 101.71
13:09:06 0.37 51.73 101.71
13:09:07 0.30 51.73 101.71
13:09:08 0.63 51.76 101.71
13:09:09 0.43 51.73 101.71
13:09:10 0.28 51.73 101.71
13:09:11 0.16 51.73 101.69
13:09:12 0.21 51.76 101.71
13:09:13 0.24 51.76 101.71
13:09:14 0.13 51.73 101.71
13:09:15 0.38 51.73 101.71
13:09:16 0.22 51.76 101.71
13:09:17 0.26 51.76 101.71
13:09:18 0.42 51.76 101.71
13:09:19 0.12 51.76 101.71
13:09:20 0.70 51.76 101.71
13:09:21 0.06 51.76 101.71
13:09:22 -0.11 51.76 101.71
13:09:23 0.05 51.76 101.71
13:09:24 0.22 51.76 101.71
13:09:25 0.17 51.76 101.71
13:09:26 0.23 51.76 101.71
13:09:27 0.33 51.76 101.71
13:09:28 0.24 51.76 101.71
13:09:29 0.11 51.76 101.71
13:09:30 0.35 51.76 101.71
13:09:31 -0.08 51.76 101.71
13:09:32 0.32 51.76 101.69
13:09:33 0.32 51.76 101.71
13:09:34 0.22 51.76 101.71
13:09:35 0.11 51.76 101.71
13:09:36 0.00 51.76 101.71
13:09:37 -0.01 51.76 101.71
13:09:38 0.23 51.76 101.71
13:09:39 0.51 51.76 101.71
13:09:40 -0.02 51.73 101.71
13:09:41 0.12 51.73 101.71
13:09:42 0.29 51.73 101.71
13:09:43 0.19 51.73 101.71
13:09:44 0.51 51.73 101.71
13:09:45 0.81 51.73 101.71
13:09:46 0.43 51.73 101.69
13:09:47 0.35 51.73 101.71
13:09:48 0.23 51.76 101.71
13:09:49 0.19 51.73 101.71
13:09:50 0.26 51.73 101.71
13:09:51 0.34 51.73 101.71
13:09:52 0.03 51.76 101.71
13:09:53 0.68 51.76 101.69
13:09:55 0.19 51.76 101.71
13:09:56 0.19 51.76 101.71
13:09:57 0.74 51.76 101.71
13:09:58 0.32 51.76 101.71
13:09:59 -0.21 51.76 101.69
13:10:00 0.25 51.76 101.71
13:10:01 0.19 51.76 101.71
13:10:02 0.32 51.76 101.71
13:10:03 0.22 51.73 101.71
13:10:04 0.11 51.73 101.71
13:10:05 0.14 51.76 101.69
13:10:06 0.13 51.76 101.71
13:10:07 0.23 51.76 101.71
13:10:08 -0.04 51.76 101.69
13:10:09 0.19 51.73 101.71
13:10:10 0.53 51.73 101.71
13:10:11 0.67 51.73 101.71
13:10:12 0.01 51.76 101.71
13:10:13 0.22 51.73 101.71
13:10:14 0.20 51.73 101.71
13:10:15 0.57 51.76 101.71
13:10:16 0.15 51.73 101.71
13:10:17 0.31 51.73 101.71
13:10:18 0.55 51.76 101.71
13:10:19 0.34 51.76 101.71
13:10:20 0.64 51.76 101.71
13:10:21 0.24 51.76 101.71
13:10:22 0.22 51.76 101.71
13:10:23 0.58 51.76 101.69
13:10:24 -0.02 51.76 101.71
13:10:25 0.14 51.76 101.69
13:10:26 0.47 51.73 101.71
13:10:27 0.20 51.73 101.71
13:10:28 -0.09 51.76 101.71
13:10:29 0.24 51.76 101.71
13:10:30 0.27 51.76 101.71
13:10:31 0.21 51.76 101.71
13:10:32 -0.14 51.73 101.71
13:10:33 0.36 51.73 101.71
13:10:34 0.20 51.73 101.71
13:10:35 0.12 51.73 101.71
13:10:36 0.50 51.76 101.71
13:10:37 0.00 51.73 101.71
13:10:38 0.51 51.73 101.71
13:10:39 -0.01 51.76 101.71
13:10:40 0.40 51.76 101.71
13:10:41 0.42 51.73 101.71
13:10:42 0.29 51.73 101.71
13:10:43 0.09 51.76 101.71
13:10:44 -0.18 51.76 101.71
13:10:45 0.59 51.76 101.71
13:10:46 0.36 51.76 101.71
13:10:47 -0.05 51.73 101.71
13:10:48 0.35 51.73 101.71
13:10:49 0.42 51.73 101.71
13:10:50 0.18 51.73 101.71
13:10:51 0.31 51.73 101.71
13:10:52 -0.04 51.73 101.71
13:10:53 0.26 51.73 101.71
13:10:54 0.23 51.73 101.71
13:10:55 0.34 51.76 101.71
13:10:56 0.27 51.76 101.71
13:10:57 0.38 51.73 101.71
13:10:58 -0.36 51.73 101.71
13:10:59 0.21 51.73 101.71
